x,y,z,energy_eV
706307.8718272509,40823.96039264959,-129950.11275546023,76.89881830673802
707013.5068971884,40677.760068485644,-129159.48793529175,69.23023808778353
707510.1087737517,40573.18776961787,-128723.11673661882,62.32639163027603
707642.7672544038,40695.002908944545,-128765.59600621586,56.11101739567786
707720.5387679915,40701.28424530121,-128675.9403104913,50.51545887422522
707900.5505752696,40700.297888674235,-128637.13107318002,45.47790618870691
708044.3702117343,40803.48081615399,-128570.91685335235,40.942713327783224
708587.4416902638,41272.71042833332,-128239.56051583837,36.85978346684085
709306.4982284841,41564.471361870324,-128915.1672277729,33.18401558649107
709633.0771997822,41534.51285945146,-128911.04724947503,29.874806275926865
709826.5059412804,41548.74321806674,-129039.64298627888,26.895601217939696
709974.8652605109,41666.702214768935,-128974.67321479411,24.213491401192247
710722.5963019023,41115.54654087035,-128313.47146174869,21.7988495994113
711356.0868280831,41318.27319066901,-128244.11378908738,19.62500310196308
711452.901332478,41365.45737053019,-128215.17322041337,17.667939080714685
711631.7476965067,41593.317387992276,-128215.61584166056,15.906039338593553
711655.7805301333,41594.404378029714,-128219.4299132711,14.31984150981414
711687.9631184186,41636.783608703045,-128199.17916849356,12.891824073932396
711879.3128080089,41841.660428047006,-128277.50958749148,11.606212808941907
712036.6629879733,42026.42566808778,-128237.99140052564,10.448806545446315
712044.5609648294,42019.40311290147,-128240.30670979769,9.40682029714696
712203.3399402056,42078.42933061292,-127995.43453767808,8.468744034827594
712218.0037037457,42058.0259813002,-128010.18398587954,7.624215543819856
712289.1680392881,41973.167342983106,-128072.97181068623,6.86390596050264
712452.9190718007,42238.77542211021,-128132.7933616281,6.179416723444205
712733.0014292405,42194.63568427378,-128127.39470567733,5.563186800884671
712911.9994863283,42343.23117444473,-128199.011137285,5.008409169771518
713033.5214790847,42484.7790819897,-128317.21856101781,4.508955623755521
713113.8694350206,42550.347912084,-128259.00035278141,4.059309079558295
713312.5226087355,42582.2539588617,-128134.40441703616,3.6545026339513735
713373.3432952205,42571.60354033092,-128123.55477681432,3.2900646981556685
713483.8794578103,42524.759352009365,-128070.88388035152,2.9619696036027485
713564.3526563325,42524.45957221653,-128106.5595328362,2.6665931334373774
713574.8625558455,42529.38160353608,-128113.39339613289,2.4006724885516553
713575.2361864983,42529.254012788006,-128113.0336854903,2.1612702459260054
713600.4716775267,42537.6457378107,-128099.1141140037,1.9457419111522207
713602.23775699,42538.207974384684,-128099.08069394717,1.7517067067159882
713883.5474250766,42180.36732684776,-127874.49798301008,1.577021273359269
713908.447290928,42170.851197802396,-127868.333315616,1.4197559940215025
713946.7842709564,42175.41050431666,-127852.62151811134,1.2781736788282225
713989.7151468553,42163.77082109418,-127914.43969306606,1.1507103756763775
714014.3134350647,42156.77466582964,-127928.86180437445,1.035958094445492
714252.7733210312,42193.162446692186,-127935.81289500161,0.9326492540021742
714293.8793403327,42198.263130953725,-127936.74668522451,0.8396426801958632
714305.0108296608,42195.41728286935,-127920.38200104193,0.7559110001763311
714335.9783517715,42191.50919633964,-127935.05600266767,0.6805292937875557
714351.640416216,42194.27046276313,-127924.52403521937,0.6126648766785473
714399.76154415,42136.64760267335,-127911.94835505553,0.5515681022729304
714627.2839771853,42077.7143107462,-127998.93828698006,0.49656408099363536
714765.672897471,42148.998886587804,-128092.3762084928,0.4470452252712783
714774.5579527846,42158.6954843001,-128097.14634699436,0.40246453798660786
714803.0706790766,42150.32785833081,-128072.60840075671,0.36232957020955
714831.7772508826,42152.52204568191,-128074.13907442089,0.32619698149059206
714838.6756736785,42149.91404577993,-128071.01963123915,0.293667642616184
714959.1563685588,42210.25555549164,-128068.41521639605,0.2643822267320216
714974.0000613066,42207.34457501753,-128079.33519374636,0.23801724013270642
714994.1936424332,42225.0409049172,-128091.90137016577,0.21428144887293513
715001.261888136,42224.96010372071,-128092.07710810417,0.19291266172771168
715023.682695187,42213.24598127815,-128099.85099652316,0.1736748339653914
715048.7301533032,42214.65902659045,-128094.8074353571,0.15635545994114183
715054.1400744168,42207.915350995805,-128092.24336248149,0.1407632257087842
715078.9109794674,42198.363008273984,-128101.72274397615,0.1267258957212046
715096.1318305054,42202.426676701434,-128096.34583709782,0.1140884102753227
715113.3557896263,42183.66253458835,-128100.12169139416,0.10271117268553982
715154.5016317413,42176.341984540224,-128084.80010432287,0.09246850726537519
